acquisition,RX_level,RX_difference
313,-78.749435,2.632683
313,-78.749435,2.632683
314,-78.747383,2.500496
314,-78.747383,2.500496
315,-78.747383,2.500496
315,-78.747383,2.500496
316,-78.621963,2.597443
316,-78.621963,2.597443
317,-78.621963,2.597443
317,-78.621963,2.597443
318,-78.556648,2.560089
318,-78.556648,2.560089
319,-78.556648,2.560089
319,-78.556648,2.560089
320,-78.574363,2.598755
320,-78.574363,2.598755
321,-78.574363,2.598755
321,-78.574363,2.598755
322,-78.643951,2.987289
322,-78.643951,2.987289
323,-78.643951,2.987289
323,-78.643951,2.987289
324,-78.716705,2.613564
324,-78.716705,2.613564
325,-78.716705,2.613564
325,-78.716705,2.613564
326,-78.770019,2.581024
326,-78.770019,2.581024
327,-78.770019,2.581024
327,-78.770019,2.581024
328,-78.645957,2.629822
328,-78.645957,2.629822
329,-78.645957,2.629822
329,-78.645957,2.629822
330,-78.602066,2.912682
330,-78.602066,2.912682
331,-78.602066,2.912682
331,-78.602066,2.912682
332,-78.784484,2.694153
332,-78.784484,2.694153
333,-78.784484,2.694153
333,-78.784484,2.694153
334,-78.65599,2.588539
334,-78.65599,2.588539
335,-78.65599,2.588539
335,-78.65599,2.588539
336,-78.857543,2.79557
336,-78.857543,2.79557
337,-78.857543,2.79557
337,-78.857543,2.79557
338,-78.631942,2.711655
338,-78.631942,2.711655
339,-78.631942,2.711655
339,-78.631942,2.711655
340,-78.859649,2.43615
340,-78.859649,2.43615
341,-78.859649,2.43615
341,-78.859649,2.43615
342,-78.58226,2.588409
342,-78.58226,2.588409
343,-78.58226,2.588409
343,-78.58226,2.588409
344,-78.730995,3.314369
344,-78.730995,3.314369
345,-78.730995,3.314369
345,-78.730995,3.314369
346,-78.811477,2.58741
346,-78.811477,2.58741
347,-78.811477,2.58741
347,-78.811477,2.58741
348,-78.440368,3.10376
348,-78.440368,3.10376
349,-78.440368,3.10376
349,-78.440368,3.10376
350,-78.819816,2.670052
350,-78.819816,2.670052
351,-78.819816,2.670052
351,-78.819816,2.670052
352,-78.678154,2.623482
352,-78.678154,2.623482
353,-78.678154,2.623482
353,-78.678154,2.623482
354,-78.84703,2.579384
354,-78.84703,2.579384
355,-78.84703,2.579384
355,-78.84703,2.579384
356,-78.906234,2.608177
356,-78.906234,2.608177
357,-78.906234,2.608177
357,-78.906234,2.608177
358,-78.733039,2.54438
358,-78.733039,2.54438
359,-78.733039,2.54438
359,-78.733039,2.54438
360,-78.600082,2.565163
360,-78.600082,2.565163
361,-78.600082,2.565163
361,-78.600082,2.565163
362,-78.700431,2.606537
362,-78.700431,2.606537
363,-78.700431,2.606537
363,-78.700431,2.606537
364,-78.680175,2.497452
364,-78.680175,2.497452
365,-78.680175,2.497452
365,-78.680175,2.497452
366,-78.87442,2.390938
366,-78.87442,2.390938
367,-78.87442,2.390938
367,-78.87442,2.390938
368,-78.653984,3.304276
368,-78.653984,3.304276
369,-78.653984,3.304276
369,-78.653984,3.304276
370,-78.761772,2.519974
370,-78.761772,2.519974
371,-78.761772,2.519974
371,-78.761772,2.519974
372,-78.623954,2.828995
372,-78.623954,2.828995
373,-78.623954,2.828995
373,-78.623954,2.828995
374,-78.931861,3.52401
374,-78.931861,3.52401
375,-78.931861,3.52401
375,-78.931861,3.52401
376,-78.951171,3.26403
376,-78.951171,3.26403
377,-78.951171,3.26403
377,-78.951171,3.26403
378,-78.706527,2.640419
378,-78.706527,2.640419
379,-78.706527,2.640419
379,-78.706527,2.640419
380,-78.82608,2.523689
380,-78.82608,2.523689
381,-78.82608,2.523689
381,-78.82608,2.523689
382,-78.625946,2.631927
382,-78.625946,2.631927
383,-78.625946,2.631927
383,-78.625946,2.631927
384,-78.763832,3.51149
384,-78.763832,3.51149
385,-78.763832,3.51149
385,-78.763832,3.51149
386,-78.718742,3.465981
386,-78.718742,3.465981
387,-78.718742,3.465981
387,-78.718742,3.465981
388,-78.430816,3.021286
388,-78.430816,3.021286
389,-78.430816,3.021286
389,-78.430816,3.021286
390,-78.893486,3.363235
390,-78.893486,3.363235
391,-78.893486,3.363235
391,-78.893486,3.363235
392,-78.784484,2.493553
392,-78.784484,2.493553
393,-78.784484,2.493553
393,-78.784484,2.493553
394,-78.788627,2.90892
394,-78.788627,2.90892
395,-78.788627,2.90892
395,-78.788627,2.90892
396,-78.741226,3.330727
396,-78.741226,3.330727
397,-78.741226,3.330727
397,-78.741226,3.330727
398,-78.584236,3.515022
398,-78.584236,3.515022
399,-78.584236,3.515022
399,-78.584236,3.515022
