,acquisition,activity,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
170,5,still,-0.26,0.23,9.91,0.00161,-0.00441,0.00021
171,5,still,-0.26,0.23,9.91,0.00161,-0.00441,0.00021
172,5,still,-0.26,0.23,9.91,0.00161,-0.00441,0.00021
173,5,still,-0.26,0.23,9.91,0.00161,-0.00441,0.00021
174,5,still,-0.3,0.16,9.98,0.00154,-0.00441,0.00021
175,5,still,-0.3,0.16,9.98,0.00154,-0.00441,0.00021
176,5,still,-0.3,0.16,9.98,0.00154,-0.00441,0.00021
177,5,still,-0.3,0.16,9.98,0.00154,-0.00441,0.00021
178,5,still,-0.3,0.16,9.98,0.00154,-0.00441,0.00021
179,5,still,-0.3,0.2,10.02,0.00161,-0.00448,0.00014
180,5,still,-0.3,0.2,10.02,0.00161,-0.00448,0.00014
181,5,still,-0.3,0.2,10.02,0.00161,-0.00448,0.00014
182,5,still,-0.3,0.2,10.02,0.00161,-0.00448,0.00014
183,5,still,-0.22,0.2,9.98,0.00161,-0.00441,0.00014
184,5,still,-0.22,0.2,9.98,0.00161,-0.00441,0.00014
185,5,still,-0.22,0.2,9.98,0.00161,-0.00441,0.00014
186,5,still,-0.22,0.2,9.98,0.00161,-0.00441,0.00014
187,5,still,-0.22,0.2,9.98,0.00161,-0.00441,0.00014
188,5,still,-0.3,0.2,9.98,0.00161,-0.00448,0.00021
189,5,still,-0.3,0.2,9.98,0.00161,-0.00448,0.00021
190,5,still,-0.3,0.2,9.98,0.00161,-0.00448,0.00021
191,5,still,-0.3,0.2,9.98,0.00161,-0.00448,0.00021
192,5,still,-0.3,0.2,9.98,0.00161,-0.00448,0.00021
193,5,still,-0.3,0.16,9.95,0.00161,-0.00448,0.00014
194,5,still,-0.3,0.16,9.95,0.00161,-0.00448,0.00014
195,5,still,-0.3,0.16,9.95,0.00161,-0.00448,0.00014
196,5,still,-0.3,0.16,9.95,0.00161,-0.00448,0.00014
197,5,still,-0.26,0.2,9.95,0.00161,-0.00448,0.00014
198,5,still,-0.26,0.2,9.95,0.00161,-0.00448,0.00014
199,5,still,-0.26,0.2,9.95,0.00161,-0.00448,0.00014
200,6,wave,0.86,-16.84,-3.93,0.10682,0.04396,-0.34097
201,6,wave,0.86,-16.84,-3.93,0.10682,0.04396,-0.34097
202,6,wave,0.86,-16.84,-3.93,0.10682,0.04396,-0.34097
203,6,wave,0.86,-16.84,-3.93,0.10682,0.04396,-0.34097
204,6,wave,-0.93,4.72,-1.36,-0.02653,0.00959,0.01183
205,6,wave,-0.93,4.72,-1.36,-0.02653,0.00959,0.01183
206,6,wave,-0.93,4.72,-1.36,-0.02653,0.00959,0.01183
207,6,wave,-0.93,4.72,-1.36,-0.02653,0.00959,0.01183
208,6,wave,-0.93,4.72,-1.36,-0.02653,0.00959,0.01183
209,6,wave,2.54,7.84,0.12,-0.06223,-0.07791,0.27104
210,6,wave,2.54,7.84,0.12,-0.06223,-0.07791,0.27104
211,6,wave,2.54,7.84,0.12,-0.06223,-0.07791,0.27104
212,6,wave,2.54,7.84,0.12,-0.06223,-0.07791,0.27104
213,6,wave,2.54,7.84,0.12,-0.06223,-0.07791,0.27104
214,6,wave,1.01,-12.98,-1.16,-0.01428,-0.03766,-0.2751
