,acquisition,activity,CIR,FirstPathPL,maxNoise,RX_level,FPPL,Distance
221,5,LOS,2059.0,47703.0,1546.0,-79.342575,-84.242988,2.645361
222,5,LOS,2122.0,47684.0,1625.0,-78.865974,-83.710296,2.6266
223,5,LOS,1882.0,47641.0,1562.0,-78.735084,-83.788742,2.6266
224,5,LOS,1870.0,48099.0,1472.0,-79.25634,-83.985374,2.6266
225,5,LOS,2030.0,48077.0,1464.0,-79.284126,-84.098243,2.589077
226,5,LOS,1843.0,48029.0,1398.0,-78.927581,-83.869018,2.6266
227,5,LOS,2085.0,48006.0,1472.0,-79.347282,-84.466362,2.607838
228,5,LOS,2054.0,47959.0,1636.0,-78.811477,-83.826332,2.6266
229,5,LOS,1929.0,47894.0,1457.0,-78.876533,-83.616973,2.607838
230,5,LOS,1892.0,47849.0,1707.0,-79.149215,-83.747329,2.589077
231,5,LOS,1972.0,47822.0,1495.0,-79.233329,-83.271713,2.607838
232,5,LOS,1958.0,47767.0,1615.0,-79.053466,-83.111518,2.645361
233,5,LOS,1854.0,47721.0,1560.0,-79.084411,-82.975868,2.589077
234,5,LOS,2059.0,47664.0,1796.0,-79.321441,-83.410369,2.589077
235,5,LOS,2072.0,47625.0,1709.0,-78.865974,-82.546272,2.589077
236,5,LOS,1851.0,48090.0,1550.0,-78.838638,-83.026008,2.664123
237,5,LOS,1845.0,48045.0,1343.0,-79.328475,-83.955871,2.6266
238,5,LOS,2108.0,48009.0,1536.0,-79.342575,-84.854026,2.607838
239,5,LOS,2154.0,47945.0,1468.0,-78.763832,-83.456253,2.664123
240,5,LOS,2094.0,47890.0,1547.0,-78.670082,-83.68766,2.607838
241,5,LOS,2040.0,47785.0,1536.0,-78.996582,-83.907775,2.6266
242,5,LOS,1861.0,47727.0,1405.0,-78.906234,-83.778389,2.6266
243,5,LOS,1960.0,47651.0,1477.0,-79.305076,-84.602653,2.607838
244,5,LOS,2041.0,48100.0,1532.0,-79.079978,-84.092109,2.570316
245,5,LOS,1992.0,48055.0,1712.0,-78.904106,-83.715011,2.551554
246,5,LOS,2126.0,48009.0,1617.0,-79.009643,-83.193832,2.607838
247,5,LOS,2105.0,47946.0,1624.0,-78.726905,-83.244499,2.645361
248,5,LOS,1864.0,47861.0,1644.0,-78.770019,-83.486824,2.607838
249,5,LOS,2020.0,47789.0,1377.0,-79.29808,-83.958694,2.607838
250,6,LOS,1989.0,47977.0,1876.0,-79.258651,-82.972061,2.570316
251,6,LOS,1886.0,47887.0,1713.0,-79.016189,-82.628379,2.589077
252,6,LOS,1983.0,47783.0,1684.0,-79.247123,-82.99366,2.607838
253,6,LOS,2144.0,47680.0,1621.0,-79.029312,-82.959869,2.551554
254,6,LOS,2064.0,48076.0,1611.0,-78.690292,-83.074447,2.589077
255,6,LOS,1712.0,47958.0,1465.0,-78.855438,-83.018516,2.589077
256,6,LOS,2077.0,47856.0,1688.0,-79.667503,-83.944816,2.570316
257,6,LOS,2099.0,47764.0,1561.0,-78.82817,-81.993621,2.532793
258,6,LOS,2005.0,47649.0,1694.0,-78.782417,-81.909797,2.551554
259,6,LOS,2018.0,48041.0,1760.0,-78.981391,-81.810127,2.551554
260,6,LOS,1963.0,47937.0,1691.0,-78.953323,-81.677398,2.570316
261,6,LOS,1884.0,47831.0,1527.0,-79.073333,-82.705848,2.6266
262,6,LOS,2035.0,47720.0,1502.0,-79.251731,-82.687309,2.570316
263,6,LOS,1967.0,48116.0,1619.0,-78.916893,-81.81034,2.532793
264,6,LOS,2066.0,48000.0,1613.0,-79.064498,-82.598053,2.570316
265,6,LOS,2099.0,47887.0,1619.0,-78.851234,-83.259796,2.589077
266,6,LOS,1820.0,47768.0,1552.0,-78.782417,-83.172241,2.6266
267,6,LOS,1800.0,47660.0,1723.0,-79.401824,-84.071556,2.570316
268,6,LOS,1951.0,48059.0,1553.0,-79.449813,-84.047775,2.570316
269,6,LOS,1918.0,47933.0,1625.0,-79.099967,-83.426437,2.607838
270,6,LOS,1909.0,47816.0,1639.0,-79.174049,-83.562194,2.589077
271,6,LOS,2031.0,47699.0,1548.0,-79.19448,-83.919456,2.570316
272,6,LOS,1981.0,48090.0,1719.0,-78.925437,-83.450454,2.6266
