acquisition,RX_level,RX_difference
306,-78.834449,2.458855
306,-78.834449,2.458855
307,-78.834449,2.458855
307,-78.668067,2.760681
308,-78.668067,2.760681
308,-78.668067,2.760681
309,-78.82608,2.331421
309,-78.82608,2.331421
310,-78.82608,2.331421
310,-78.733039,3.060493
311,-78.733039,3.060493
311,-78.733039,3.060493
312,-78.782417,2.796577
312,-78.782417,2.796577
313,-78.782417,2.796577
313,-78.865974,2.533257
314,-78.865974,2.533257
314,-78.865974,2.533257
315,-79.04467,2.068398
315,-79.04467,2.068398
316,-79.04467,2.068398
316,-78.776214,2.49099
317,-78.776214,2.49099
317,-78.776214,2.49099
318,-79.340225,2.61615
318,-79.340225,2.61615
319,-79.340225,2.61615
319,-79.288772,2.930458
320,-79.288772,2.930458
320,-79.288772,2.930458
321,-79.321441,2.78978
321,-79.321441,2.78978
322,-79.321441,2.78978
322,-79.279479,3.082443
323,-79.279479,3.082443
323,-79.279479,3.082443
324,-79.500778,2.476875
324,-79.500778,2.476875
325,-79.500778,2.476875
325,-79.52526,2.040855
326,-79.52526,2.040855
326,-79.52526,2.040855
327,-79.351997,1.787247
327,-79.351997,1.787247
328,-79.351997,1.787247
328,-79.447402,1.894653
329,-79.447402,1.894653
329,-79.447402,1.894653
330,-79.827697,1.528236
330,-79.827697,1.528236
331,-79.827697,1.528236
331,-79.454643,1.938927
332,-79.454643,1.938927
332,-79.454643,1.938927
333,-79.642204,2.145523
333,-79.642204,2.145523
334,-79.642204,2.145523
334,-79.513,2.119209
335,-79.513,2.119209
335,-79.513,2.119209
336,-79.086631,1.813095
336,-79.086631,1.813095
337,-79.086631,1.813095
337,-79.37091,2.334862
338,-79.37091,2.334862
338,-79.37091,2.334862
339,-79.258651,2.277122
339,-79.258651,2.277122
340,-79.258651,2.277122
340,-79.587074,8.516793
341,-79.587074,8.516793
341,-79.587074,8.516793
342,-79.759796,1.715355
342,-79.759796,1.715355
343,-79.759796,1.715355
343,-79.695495,1.264732
344,-79.695495,1.264732
344,-79.695495,1.264732
345,-79.319099,1.884933
345,-79.319099,1.884933
346,-79.319099,1.884933
346,-79.569679,1.222946
347,-79.569679,1.222946
347,-79.569679,1.222946
348,-79.819808,1.819847
348,-79.819808,1.819847
349,-79.819808,1.819847
349,-79.4066,2.711464
350,-79.4066,2.711464
350,-79.4066,2.711464
351,-79.698051,2.328896
351,-79.698051,2.328896
352,-79.698051,2.328896
352,-79.302742,18.635719
353,-79.302742,18.635719
353,-79.302742,18.635719
354,-79.368545,2.190063
354,-79.368545,2.190063
355,-79.368545,2.190063
355,-78.776214,2.7864
356,-78.776214,2.7864
